sample_index,smiles,actual_logp,predicted_logp,absolute_error,inference_us,round_trip_ms
95286,CCCc1cc(N2CC[NH2+]CC2)c2c(Cl)ccc(Cl)c2n1,2.8775,1.429102,1.448398,53038.0,237.717
56273,O=C1C(/C=N/CCCn2ccnc2)=C([O-])c2ccccc21,1.3119,-0.039697,1.351597,53041.0,237.8569
147895,CCC(=O)Oc1ccc([C@H]2Nc3ccc4ccccc4c3C3=C2C(=O)CCC3)cc1OC,5.8372,4.763673,1.073527,53042.0,236.0278
122861,COC[C@H]1CCCN(C(=O)c2ccc(N3CCCCCCC3)[nH+]c2)C1,2.7698,1.786377,0.983423,53041.0,236.8544
181693,O=C(N(Cc1ccco1)Cc1ccco1)[C@@]12CNC[C@@H]1C[NH2+]C2,0.1842,-0.793945,0.978145,53039.0,237.4859
71128,CCC(=O)Nc1cccc(NCc2cnc(-c3cccs3)s2)c1,4.8322,3.890333,0.941867,53039.0,237.4814
191806,C[C@H]1SCCC[C@@]1(C[NH3+])N1CC[NH+](CC2CC2)CC1,-0.5069,0.396973,0.903873,53042.0,237.7639
92493,Cc1cc(F)ccc1NC(=O)CNC(=O)[C@H]([NH3+])CC(C)C,0.84542,1.74668,0.90126,53042.0,237.5808
158525,C[NH+]1CCC([NH2+]CC(c2ccccc2)c2ccccc2)CC1,1.059,0.198486,0.860514,53042.0,237.7015
152872,C[NH+](C)Cc1cc(C(=O)/C=C/c2ccccc2)cc(C[NH+](C)C)c1[O-],-0.0547,0.754248,0.808948,53041.0,236.5484
53015,C[C@H](Sc1nnc(Cc2cccs2)n1C1CCCCC1)C(=O)N(C)C,4.0044,4.80337,0.79897,53039.0,237.5123
82711,CCOC(=O)CCCNC(=O)C1CCCCCC1,2.4163,1.627588,0.788712,53043.0,237.5787
50227,O=C(N[C@@H]1CC(=O)N(c2ccccc2)C1)N[C@@H]1CC(=O)N(C2CC2)C1,0.8544,1.627588,0.773188,53042.0,237.5181
162158,N#C/C(C(=O)NCCc1ccccc1)=c1/s/c(=C/c2cccc([N+](=O)[O-])c2)c(=O)n1-c1ccccc1,2.66918,1.905469,0.763711,53036.0,237.3169
161495,[NH3+]C[C@H]1C[C@@H]1c1cc(Cl)cs1,1.7469,2.500928,0.754028,53038.0,237.6575
100953,O=C(NCCc1ccc(Cl)cc1)c1nnc(Cc2ccc(Cl)cc2)o1,3.9397,3.215479,0.724221,53040.0,236.331
138212,CC(C)CC[NH+](C[C@](C)(O)C(=O)[O-])C1CCCC1,-0.6391,0.0,0.6391,53041.0,236.8229
73543,C=C(C(=O)Cl)C(F)(F)F,1.8703,2.500928,0.630628,53041.0,237.9667
114918,O=C1C[C@H](C(=O)N(C2CCCC2)C2CCCC2)CN1c1ccc2c(c1)OCCO2,3.5245,2.897901,0.626599,53041.0,237.3487
7627,COc1ccc(Br)cc1CNC(=O)c1oc2c(c1C)[C@H]1N=NC=C1CC2,4.62612,4.009425,0.616695,53037.0,236.798
